5.9642 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
145.0311 	EXP 	grating: autoDraw = True
145.3313 	EXP 	grating: autoDraw = False
146.0196 	EXP 	New trial (rep=62, index=0): None
146.0208 	DATA 	Keypress: down
146.0310 	EXP 	fixation: autoDraw = False
146.0310 	EXP 	grating: autoDraw = False
146.0310 	EXP 	grating: ori = 0.0
146.0310 	EXP 	fixation: autoDraw = True
147.0310 	EXP 	fixation: autoDraw = False
147.0310 	EXP 	grating: autoDraw = True
147.3307 	EXP 	grating: autoDraw = False
147.8520 	EXP 	New trial (rep=63, index=0): None
147.8537 	DATA 	Keypress: up
147.8636 	EXP 	fixation: autoDraw = False
147.8636 	EXP 	grating: autoDraw = False
147.8636 	EXP 	grating: ori = 4.0
147.8636 	EXP 	fixation: autoDraw = True
148.8635 	EXP 	fixation: autoDraw = False
148.8635 	EXP 	grating: autoDraw = True
149.1634 	EXP 	grating: autoDraw = False
149.5862 	EXP 	New trial (rep=64, index=0): None
149.5879 	DATA 	Keypress: down
149.5967 	EXP 	fixation: autoDraw = False
149.5967 	EXP 	grating: autoDraw = False
149.5967 	EXP 	grating: ori = 0.0
149.5967 	EXP 	fixation: autoDraw = True
150.5968 	EXP 	fixation: autoDraw = False
150.5968 	EXP 	grating: autoDraw = True
150.8966 	EXP 	grating: autoDraw = False
151.3523 	EXP 	New trial (rep=65, index=0): None
151.3540 	DATA 	Keypress: up
151.3631 	EXP 	fixation: autoDraw = False
151.3631 	EXP 	grating: autoDraw = False
151.3631 	EXP 	grating: ori = -1.0
151.3631 	EXP 	fixation: autoDraw = True
152.3628 	EXP 	fixation: autoDraw = False
152.3628 	EXP 	grating: autoDraw = True
152.6627 	EXP 	grating: autoDraw = False
153.1337 	EXP 	New trial (rep=66, index=0): None
153.1359 	DATA 	Keypress: up
153.1459 	EXP 	fixation: autoDraw = False
153.1459 	EXP 	grating: autoDraw = False
153.1459 	EXP 	grating: ori = 2.0
153.1459 	EXP 	fixation: autoDraw = True
154.1456 	EXP 	fixation: autoDraw = False
154.1456 	EXP 	grating: autoDraw = True
154.4455 	EXP 	grating: autoDraw = False
154.7848 	EXP 	New trial (rep=67, index=0): None
154.7868 	DATA 	Keypress: up
154.7959 	EXP 	fixation: autoDraw = False
154.7959 	EXP 	grating: autoDraw = False
154.7959 	EXP 	grating: ori = -3.0
154.7959 	EXP 	fixation: autoDraw = True
155.7952 	EXP 	fixation: autoDraw = False
155.7952 	EXP 	grating: autoDraw = True
156.0952 	EXP 	grating: autoDraw = False
157.0003 	EXP 	New trial (rep=68, index=0): None
157.0019 	DATA 	Keypress: down
157.0118 	EXP 	fixation: autoDraw = False
157.0118 	EXP 	grating: autoDraw = False
157.0118 	EXP 	grating: ori = 0.0
157.0118 	EXP 	fixation: autoDraw = True
158.0118 	EXP 	fixation: autoDraw = False
158.0118 	EXP 	grating: autoDraw = True
158.3112 	EXP 	grating: autoDraw = False
158.7344 	EXP 	New trial (rep=69, index=0): None
158.7368 	DATA 	Keypress: up
158.7448 	EXP 	fixation: autoDraw = False
158.7448 	EXP 	grating: autoDraw = False
158.7448 	EXP 	grating: ori = 0.0
158.7448 	EXP 	fixation: autoDraw = True
159.7444 	EXP 	fixation: autoDraw = False
159.7444 	EXP 	grating: autoDraw = True
160.0441 	EXP 	grating: autoDraw = False
160.2973 	EXP 	New trial (rep=70, index=0): None
160.2989 	DATA 	Keypress: up
160.3108 	EXP 	fixation: autoDraw = False
160.3108 	EXP 	grating: autoDraw = False
160.3108 	EXP 	grating: ori = -2.0
160.3108 	EXP 	fixation: autoDraw = True
161.3110 	EXP 	fixation: autoDraw = False
161.3110 	EXP 	grating: autoDraw = True
161.6106 	EXP 	grating: autoDraw = False
162.3481 	EXP 	New trial (rep=71, index=0): None
162.3498 	DATA 	Keypress: down
162.3605 	EXP 	fixation: autoDraw = False
162.3605 	EXP 	grating: autoDraw = False
162.3605 	EXP 	grating: ori = 0.0
162.3605 	EXP 	fixation: autoDraw = True
163.3605 	EXP 	fixation: autoDraw = False
163.3605 	EXP 	grating: autoDraw = True
163.6599 	EXP 	grating: autoDraw = False
164.1996 	EXP 	New trial (rep=72, index=0): None
164.2017 	DATA 	Keypress: up
164.2099 	EXP 	fixation: autoDraw = False
164.2099 	EXP 	grating: autoDraw = False
164.2099 	EXP 	grating: ori = 2.0
164.2099 	EXP 	fixation: autoDraw = True
165.2099 	EXP 	fixation: autoDraw = False
165.2099 	EXP 	grating: autoDraw = True
165.5097 	EXP 	grating: autoDraw = False
165.9137 	EXP 	New trial (rep=73, index=0): None
165.9152 	DATA 	Keypress: up
165.9260 	EXP 	fixation: autoDraw = False
165.9260 	EXP 	grating: autoDraw = False
165.9260 	EXP 	grating: ori = -1.0
165.9260 	EXP 	fixation: autoDraw = True
166.9261 	EXP 	fixation: autoDraw = False
166.9261 	EXP 	grating: autoDraw = True
167.2259 	EXP 	grating: autoDraw = False
167.7815 	EXP 	New trial (rep=74, index=0): None
167.7832 	DATA 	Keypress: down
167.7925 	EXP 	fixation: autoDraw = False
167.7925 	EXP 	grating: autoDraw = False
167.7925 	EXP 	grating: ori = 0.0
167.7925 	EXP 	fixation: autoDraw = True
168.7927 	EXP 	fixation: autoDraw = False
168.7927 	EXP 	grating: autoDraw = True
169.0921 	EXP 	grating: autoDraw = False
169.7471 	EXP 	New trial (rep=75, index=0): None
169.7488 	DATA 	Keypress: down
169.7585 	EXP 	fixation: autoDraw = False
169.7585 	EXP 	grating: autoDraw = False
169.7585 	EXP 	grating: ori = 0.0
169.7585 	EXP 	fixation: autoDraw = True
170.7588 	EXP 	fixation: autoDraw = False
170.7588 	EXP 	grating: autoDraw = True
171.0584 	EXP 	grating: autoDraw = False
171.5649 	EXP 	New trial (rep=76, index=0): None
171.5663 	DATA 	Keypress: up
171.5750 	EXP 	fixation: autoDraw = False
171.5750 	EXP 	grating: autoDraw = False
171.5750 	EXP 	grating: ori = 0.0
171.5750 	EXP 	fixation: autoDraw = True
172.5747 	EXP 	fixation: autoDraw = False
172.5747 	EXP 	grating: autoDraw = True
172.8746 	EXP 	grating: autoDraw = False
173.2487 	EXP 	New trial (rep=77, index=0): None
173.2504 	DATA 	Keypress: up
173.2577 	EXP 	fixation: autoDraw = False
173.2577 	EXP 	grating: autoDraw = False
173.2577 	EXP 	grating: ori = 2.0
173.2577 	EXP 	fixation: autoDraw = True
174.2575 	EXP 	fixation: autoDraw = False
174.2575 	EXP 	grating: autoDraw = True
174.5577 	EXP 	grating: autoDraw = False
174.8969 	EXP 	New trial (rep=78, index=0): None
174.8986 	DATA 	Keypress: up
174.9075 	EXP 	fixation: autoDraw = False
174.9075 	EXP 	grating: autoDraw = False
174.9075 	EXP 	grating: ori = -4.0
174.9075 	EXP 	fixation: autoDraw = True
175.9073 	EXP 	fixation: autoDraw = False
175.9073 	EXP 	grating: autoDraw = True
176.2073 	EXP 	grating: autoDraw = False
176.4111 	EXP 	New trial (rep=79, index=0): None
176.4124 	DATA 	Keypress: up
176.4236 	EXP 	fixation: autoDraw = False
176.4236 	EXP 	grating: autoDraw = False
176.4236 	EXP 	grating: ori = 0.0
176.4236 	EXP 	fixation: autoDraw = True
177.4239 	EXP 	fixation: autoDraw = False
177.4239 	EXP 	grating: autoDraw = True
177.7233 	EXP 	grating: autoDraw = False
178.0626 	EXP 	New trial (rep=80, index=0): None
178.0651 	DATA 	Keypress: up
178.0734 	EXP 	fixation: autoDraw = False
178.0734 	EXP 	grating: autoDraw = False
178.0734 	EXP 	grating: ori = 0.0
178.0734 	EXP 	fixation: autoDraw = True
179.0735 	EXP 	fixation: autoDraw = False
179.0735 	EXP 	grating: autoDraw = True
179.3732 	EXP 	grating: autoDraw = False
179.6616 	EXP 	New trial (rep=81, index=0): None
179.6631 	DATA 	Keypress: up
179.6730 	EXP 	fixation: autoDraw = False
179.6730 	EXP 	grating: autoDraw = False
179.6730 	EXP 	grating: ori = -5.0
179.6730 	EXP 	fixation: autoDraw = True
180.6728 	EXP 	fixation: autoDraw = False
180.6728 	EXP 	grating: autoDraw = True
180.9725 	EXP 	grating: autoDraw = False
181.5623 	EXP 	New trial (rep=82, index=0): None
181.5645 	DATA 	Keypress: down
181.5724 	EXP 	fixation: autoDraw = False
181.5724 	EXP 	grating: autoDraw = False
181.5724 	EXP 	grating: ori = 0.0
181.5724 	EXP 	fixation: autoDraw = True
182.5722 	EXP 	fixation: autoDraw = False
182.5722 	EXP 	grating: autoDraw = True
182.8721 	EXP 	grating: autoDraw = False
183.1450 	EXP 	New trial (rep=83, index=0): None
183.1466 	DATA 	Keypress: up
183.1555 	EXP 	fixation: autoDraw = False
183.1555 	EXP 	grating: autoDraw = False
183.1555 	EXP 	grating: ori = 0.0
183.1555 	EXP 	fixation: autoDraw = True
184.1551 	EXP 	fixation: autoDraw = False
184.1551 	EXP 	grating: autoDraw = True
184.4551 	EXP 	grating: autoDraw = False
184.7588 	DATA 	Keypress: up
184.7795 	EXP 	New trial (rep=84, index=0): None
184.7885 	EXP 	fixation: autoDraw = False
184.7885 	EXP 	grating: autoDraw = False
184.7885 	EXP 	grating: ori = 1.0
184.7885 	EXP 	fixation: autoDraw = True
185.7884 	EXP 	fixation: autoDraw = False
185.7884 	EXP 	grating: autoDraw = True
186.0880 	EXP 	grating: autoDraw = False
186.2590 	EXP 	New trial (rep=85, index=0): None
186.2603 	DATA 	Keypress: up
186.2717 	EXP 	fixation: autoDraw = False
186.2717 	EXP 	grating: autoDraw = False
186.2717 	EXP 	grating: ori = 1.0
186.2717 	EXP 	fixation: autoDraw = True
187.2711 	EXP 	fixation: autoDraw = False
187.2711 	EXP 	grating: autoDraw = True
187.5714 	EXP 	grating: autoDraw = False
187.8422 	EXP 	New trial (rep=86, index=0): None
187.8435 	DATA 	Keypress: up
187.8541 	EXP 	fixation: autoDraw = False
187.8541 	EXP 	grating: autoDraw = False
187.8541 	EXP 	grating: ori = 0.0
187.8541 	EXP 	fixation: autoDraw = True
188.8543 	EXP 	fixation: autoDraw = False
188.8543 	EXP 	grating: autoDraw = True
189.1538 	EXP 	grating: autoDraw = False
189.2932 	EXP 	New trial (rep=87, index=0): None
189.2953 	DATA 	Keypress: up
189.3038 	EXP 	fixation: autoDraw = False
189.3038 	EXP 	grating: autoDraw = False
189.3038 	EXP 	grating: ori = -4.0
189.3038 	EXP 	fixation: autoDraw = True
190.3041 	EXP 	fixation: autoDraw = False
190.3041 	EXP 	grating: autoDraw = True
190.6034 	EXP 	grating: autoDraw = False
190.6938 	EXP 	New trial (rep=88, index=0): None
190.6956 	DATA 	Keypress: up
190.7040 	EXP 	fixation: autoDraw = False
190.7040 	EXP 	grating: autoDraw = False
190.7040 	EXP 	grating: ori = 0.0
190.7040 	EXP 	fixation: autoDraw = True
191.7034 	EXP 	fixation: autoDraw = False
191.7034 	EXP 	grating: autoDraw = True
192.0031 	EXP 	grating: autoDraw = False
192.2590 	EXP 	New trial (rep=89, index=0): None
192.2624 	DATA 	Keypress: up
192.2697 	EXP 	fixation: autoDraw = False
192.2697 	EXP 	grating: autoDraw = False
192.2697 	EXP 	grating: ori = -4.0
192.2697 	EXP 	fixation: autoDraw = True
193.2697 	EXP 	fixation: autoDraw = False
193.2697 	EXP 	grating: autoDraw = True
193.5694 	EXP 	grating: autoDraw = False
193.6749 	EXP 	New trial (rep=90, index=0): None
193.6764 	DATA 	Keypress: up
193.6864 	EXP 	fixation: autoDraw = False
193.6864 	EXP 	grating: autoDraw = False
193.6864 	EXP 	grating: ori = -1.0
193.6864 	EXP 	fixation: autoDraw = True
194.6861 	EXP 	fixation: autoDraw = False
194.6861 	EXP 	grating: autoDraw = True
194.9860 	EXP 	grating: autoDraw = False
195.2412 	EXP 	New trial (rep=91, index=0): None
195.2429 	DATA 	Keypress: up
195.2526 	EXP 	fixation: autoDraw = False
195.2526 	EXP 	grating: autoDraw = False
195.2526 	EXP 	grating: ori = 0.0
195.2526 	EXP 	fixation: autoDraw = True
196.2524 	EXP 	fixation: autoDraw = False
196.2524 	EXP 	grating: autoDraw = True
196.5522 	EXP 	grating: autoDraw = False
196.6908 	EXP 	New trial (rep=92, index=0): None
196.6927 	DATA 	Keypress: up
196.7020 	EXP 	fixation: autoDraw = False
196.7020 	EXP 	grating: autoDraw = False
196.7020 	EXP 	grating: ori = 0.0
196.7020 	EXP 	fixation: autoDraw = True
197.7026 	EXP 	fixation: autoDraw = False
197.7026 	EXP 	grating: autoDraw = True
198.0021 	EXP 	grating: autoDraw = False
198.1887 	EXP 	New trial (rep=93, index=0): None
198.1901 	DATA 	Keypress: up
198.2018 	EXP 	fixation: autoDraw = False
198.2018 	EXP 	grating: autoDraw = False
198.2018 	EXP 	grating: ori = 0.0
198.2018 	EXP 	fixation: autoDraw = True
199.2016 	EXP 	fixation: autoDraw = False
199.2016 	EXP 	grating: autoDraw = True
199.5015 	EXP 	grating: autoDraw = False
199.6409 	EXP 	New trial (rep=94, index=0): None
199.6436 	DATA 	Keypress: up
199.6515 	EXP 	fixation: autoDraw = False
199.6515 	EXP 	grating: autoDraw = False
199.6515 	EXP 	grating: ori = 0.0
199.6515 	EXP 	fixation: autoDraw = True
200.6517 	EXP 	fixation: autoDraw = False
200.6517 	EXP 	grating: autoDraw = True
200.9511 	EXP 	grating: autoDraw = False
201.0550 	EXP 	New trial (rep=95, index=0): None
201.0567 	DATA 	Keypress: up
201.0676 	EXP 	fixation: autoDraw = False
201.0676 	EXP 	grating: autoDraw = False
201.0676 	EXP 	grating: ori = 0.0
201.0676 	EXP 	fixation: autoDraw = True
202.0681 	EXP 	fixation: autoDraw = False
202.0681 	EXP 	grating: autoDraw = True
202.3674 	EXP 	grating: autoDraw = False
202.7545 	EXP 	New trial (rep=96, index=0): None
202.7561 	DATA 	Keypress: down
202.7673 	EXP 	fixation: autoDraw = False
202.7673 	EXP 	grating: autoDraw = False
202.7673 	EXP 	grating: ori = -3.0
202.7673 	EXP 	fixation: autoDraw = True
203.7673 	EXP 	fixation: autoDraw = False
203.7673 	EXP 	grating: autoDraw = True
204.0672 	EXP 	grating: autoDraw = False
204.2558 	EXP 	New trial (rep=97, index=0): None
204.2574 	DATA 	Keypress: down
204.2675 	EXP 	fixation: autoDraw = False
204.2675 	EXP 	grating: autoDraw = False
204.2675 	EXP 	grating: ori = 0.0
204.2675 	EXP 	fixation: autoDraw = True
205.2674 	EXP 	fixation: autoDraw = False
205.2674 	EXP 	grating: autoDraw = True
205.5666 	EXP 	grating: autoDraw = False
205.7223 	EXP 	New trial (rep=98, index=0): None
205.7240 	DATA 	Keypress: down
205.7336 	EXP 	fixation: autoDraw = False
205.7336 	EXP 	grating: autoDraw = False
205.7336 	EXP 	grating: ori = 0.0
205.7336 	EXP 	fixation: autoDraw = True
206.7337 	EXP 	fixation: autoDraw = False
206.7337 	EXP 	grating: autoDraw = True
207.0329 	EXP 	grating: autoDraw = False
207.1889 	EXP 	New trial (rep=99, index=0): None
207.1906 	DATA 	Keypress: down
207.1997 	EXP 	fixation: autoDraw = False
207.1997 	EXP 	grating: autoDraw = False
207.1997 	EXP 	grating: ori = -1.0
207.1997 	EXP 	fixation: autoDraw = True
208.2000 	EXP 	fixation: autoDraw = False
208.2000 	EXP 	grating: autoDraw = True
208.4996 	EXP 	grating: autoDraw = False
208.7204 	DATA 	Keypress: down
208.7326 	EXP 	fixation: autoDraw = False
208.7326 	EXP 	grating: autoDraw = False
211.6534 	EXP 	window1: mouseVisible = True
