5.9642 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
42.1391 	EXP 	fixation: autoDraw = True
43.1390 	EXP 	fixation: autoDraw = False
43.1390 	EXP 	grating: autoDraw = True
43.4389 	EXP 	grating: autoDraw = False
43.9903 	DATA 	Keypress: up
44.0107 	EXP 	New trial (rep=10, index=0): None
44.0218 	EXP 	fixation: autoDraw = False
44.0218 	EXP 	grating: autoDraw = False
44.0218 	EXP 	grating: ori = 0.0
44.0218 	EXP 	fixation: autoDraw = True
45.0218 	EXP 	fixation: autoDraw = False
45.0218 	EXP 	grating: autoDraw = True
45.3217 	EXP 	grating: autoDraw = False
45.7769 	EXP 	New trial (rep=11, index=0): None
45.7786 	DATA 	Keypress: down
45.7880 	EXP 	fixation: autoDraw = False
45.7880 	EXP 	grating: autoDraw = False
45.7880 	EXP 	grating: ori = -2.0
45.7880 	EXP 	fixation: autoDraw = True
46.7880 	EXP 	fixation: autoDraw = False
46.7880 	EXP 	grating: autoDraw = True
47.0879 	EXP 	grating: autoDraw = False
54.9082 	EXP 	New trial (rep=12, index=0): None
54.9102 	DATA 	Keypress: up
54.9191 	EXP 	fixation: autoDraw = False
54.9191 	EXP 	grating: autoDraw = False
54.9191 	EXP 	grating: ori = 0.0
54.9191 	EXP 	fixation: autoDraw = True
55.9191 	EXP 	fixation: autoDraw = False
55.9191 	EXP 	grating: autoDraw = True
56.2189 	EXP 	grating: autoDraw = False
56.7398 	DATA 	Keypress: up
56.7587 	EXP 	New trial (rep=13, index=0): None
56.7687 	EXP 	fixation: autoDraw = False
56.7687 	EXP 	grating: autoDraw = False
56.7687 	EXP 	grating: ori = 0.0
56.7687 	EXP 	fixation: autoDraw = True
57.7686 	EXP 	fixation: autoDraw = False
57.7686 	EXP 	grating: autoDraw = True
58.0685 	EXP 	grating: autoDraw = False
58.2593 	EXP 	New trial (rep=14, index=0): None
58.2611 	DATA 	Keypress: up
58.2687 	EXP 	fixation: autoDraw = False
58.2687 	EXP 	grating: autoDraw = False
58.2687 	EXP 	grating: ori = 0.0
58.2687 	EXP 	fixation: autoDraw = True
59.2684 	EXP 	fixation: autoDraw = False
59.2684 	EXP 	grating: autoDraw = True
59.5680 	EXP 	grating: autoDraw = False
59.8391 	DATA 	Keypress: up
59.8604 	EXP 	New trial (rep=15, index=0): None
59.8683 	EXP 	fixation: autoDraw = False
59.8683 	EXP 	grating: autoDraw = False
59.8683 	EXP 	grating: ori = 0.0
59.8683 	EXP 	fixation: autoDraw = True
60.8678 	EXP 	fixation: autoDraw = False
60.8678 	EXP 	grating: autoDraw = True
61.1679 	EXP 	grating: autoDraw = False
61.2708 	DATA 	Keypress: up
61.2903 	EXP 	New trial (rep=16, index=0): None
61.3011 	EXP 	fixation: autoDraw = False
61.3011 	EXP 	grating: autoDraw = False
61.3011 	EXP 	grating: ori = -4.0
61.3011 	EXP 	fixation: autoDraw = True
62.3011 	EXP 	fixation: autoDraw = False
62.3011 	EXP 	grating: autoDraw = True
62.6007 	EXP 	grating: autoDraw = False
63.1361 	DATA 	Keypress: down
63.1532 	EXP 	New trial (rep=17, index=0): None
63.1674 	EXP 	fixation: autoDraw = False
63.1674 	EXP 	grating: autoDraw = False
63.1674 	EXP 	grating: ori = 2.0
63.1674 	EXP 	fixation: autoDraw = True
64.1671 	EXP 	fixation: autoDraw = False
64.1671 	EXP 	grating: autoDraw = True
64.4668 	EXP 	grating: autoDraw = False
65.5052 	EXP 	New trial (rep=18, index=0): None
65.5070 	DATA 	Keypress: down
65.5169 	EXP 	fixation: autoDraw = False
65.5169 	EXP 	grating: autoDraw = False
65.5169 	EXP 	grating: ori = 0.0
65.5169 	EXP 	fixation: autoDraw = True
66.5168 	EXP 	fixation: autoDraw = False
66.5168 	EXP 	grating: autoDraw = True
66.8164 	EXP 	grating: autoDraw = False
67.2893 	EXP 	New trial (rep=19, index=0): None
67.2915 	DATA 	Keypress: up
67.2995 	EXP 	fixation: autoDraw = False
67.2995 	EXP 	grating: autoDraw = False
67.2995 	EXP 	grating: ori = 1.0
67.2995 	EXP 	fixation: autoDraw = True
68.2997 	EXP 	fixation: autoDraw = False
68.2997 	EXP 	grating: autoDraw = True
68.5991 	EXP 	grating: autoDraw = False
69.0722 	EXP 	New trial (rep=20, index=0): None
69.0741 	DATA 	Keypress: up
69.0827 	EXP 	fixation: autoDraw = False
69.0827 	EXP 	grating: autoDraw = False
69.0827 	EXP 	grating: ori = 0.0
69.0827 	EXP 	fixation: autoDraw = True
70.0825 	EXP 	fixation: autoDraw = False
70.0825 	EXP 	grating: autoDraw = True
70.3823 	EXP 	grating: autoDraw = False
70.7029 	EXP 	New trial (rep=21, index=0): None
70.7048 	DATA 	Keypress: up
70.7154 	EXP 	fixation: autoDraw = False
70.7154 	EXP 	grating: autoDraw = False
70.7154 	EXP 	grating: ori = 0.0
70.7154 	EXP 	fixation: autoDraw = True
71.7153 	EXP 	fixation: autoDraw = False
71.7153 	EXP 	grating: autoDraw = True
72.0152 	EXP 	grating: autoDraw = False
72.3029 	EXP 	New trial (rep=22, index=0): None
72.3048 	DATA 	Keypress: up
72.3149 	EXP 	fixation: autoDraw = False
72.3149 	EXP 	grating: autoDraw = False
72.3149 	EXP 	grating: ori = 2.0
72.3149 	EXP 	fixation: autoDraw = True
73.3151 	EXP 	fixation: autoDraw = False
73.3151 	EXP 	grating: autoDraw = True
73.6148 	EXP 	grating: autoDraw = False
73.9699 	EXP 	New trial (rep=23, index=0): None
73.9716 	DATA 	Keypress: up
73.9816 	EXP 	fixation: autoDraw = False
73.9816 	EXP 	grating: autoDraw = False
73.9816 	EXP 	grating: ori = -4.0
73.9816 	EXP 	fixation: autoDraw = True
74.9816 	EXP 	fixation: autoDraw = False
74.9816 	EXP 	grating: autoDraw = True
75.2810 	EXP 	grating: autoDraw = False
75.7509 	EXP 	New trial (rep=24, index=0): None
75.7521 	DATA 	Keypress: down
75.7641 	EXP 	fixation: autoDraw = False
75.7641 	EXP 	grating: autoDraw = False
75.7641 	EXP 	grating: ori = 2.0
75.7641 	EXP 	fixation: autoDraw = True
76.7641 	EXP 	fixation: autoDraw = False
76.7641 	EXP 	grating: autoDraw = True
77.0641 	EXP 	grating: autoDraw = False
77.7528 	EXP 	New trial (rep=25, index=0): None
77.7550 	DATA 	Keypress: down
77.7639 	EXP 	fixation: autoDraw = False
77.7639 	EXP 	grating: autoDraw = False
77.7639 	EXP 	grating: ori = 0.0
77.7639 	EXP 	fixation: autoDraw = True
78.7636 	EXP 	fixation: autoDraw = False
78.7636 	EXP 	grating: autoDraw = True
79.0635 	EXP 	grating: autoDraw = False
79.8504 	EXP 	New trial (rep=26, index=0): None
79.8526 	DATA 	Keypress: up
79.8631 	EXP 	fixation: autoDraw = False
79.8631 	EXP 	grating: autoDraw = False
79.8631 	EXP 	grating: ori = 0.0
79.8631 	EXP 	fixation: autoDraw = True
80.8632 	EXP 	fixation: autoDraw = False
80.8632 	EXP 	grating: autoDraw = True
81.1633 	EXP 	grating: autoDraw = False
81.6498 	EXP 	New trial (rep=27, index=0): None
81.6513 	DATA 	Keypress: down
81.6628 	EXP 	fixation: autoDraw = False
81.6628 	EXP 	grating: autoDraw = False
81.6628 	EXP 	grating: ori = 0.0
81.6628 	EXP 	fixation: autoDraw = True
82.6627 	EXP 	fixation: autoDraw = False
82.6627 	EXP 	grating: autoDraw = True
82.9628 	EXP 	grating: autoDraw = False
83.3350 	EXP 	New trial (rep=28, index=0): None
83.3370 	DATA 	Keypress: up
83.3461 	EXP 	fixation: autoDraw = False
83.3461 	EXP 	grating: autoDraw = False
83.3461 	EXP 	grating: ori = 0.0
83.3461 	EXP 	fixation: autoDraw = True
84.3457 	EXP 	fixation: autoDraw = False
84.3457 	EXP 	grating: autoDraw = True
84.6455 	EXP 	grating: autoDraw = False
85.0002 	EXP 	New trial (rep=29, index=0): None
85.0021 	DATA 	Keypress: up
85.0120 	EXP 	fixation: autoDraw = False
85.0120 	EXP 	grating: autoDraw = False
85.0120 	EXP 	grating: ori = 0.0
85.0120 	EXP 	fixation: autoDraw = True
86.0118 	EXP 	fixation: autoDraw = False
86.0118 	EXP 	grating: autoDraw = True
86.3117 	EXP 	grating: autoDraw = False
86.6500 	EXP 	New trial (rep=30, index=0): None
86.6520 	DATA 	Keypress: up
86.6616 	EXP 	fixation: autoDraw = False
86.6616 	EXP 	grating: autoDraw = False
86.6616 	EXP 	grating: ori = 0.0
86.6616 	EXP 	fixation: autoDraw = True
87.6613 	EXP 	fixation: autoDraw = False
87.6613 	EXP 	grating: autoDraw = True
87.9613 	EXP 	grating: autoDraw = False
88.3323 	EXP 	New trial (rep=31, index=0): None
88.3343 	DATA 	Keypress: up
88.3447 	EXP 	fixation: autoDraw = False
88.3447 	EXP 	grating: autoDraw = False
88.3447 	EXP 	grating: ori = 0.0
88.3447 	EXP 	fixation: autoDraw = True
89.3444 	EXP 	fixation: autoDraw = False
89.3444 	EXP 	grating: autoDraw = True
89.6448 	EXP 	grating: autoDraw = False
89.9345 	EXP 	New trial (rep=32, index=0): None
89.9371 	DATA 	Keypress: up
89.9442 	EXP 	fixation: autoDraw = False
89.9442 	EXP 	grating: autoDraw = False
89.9442 	EXP 	grating: ori = 1.0
89.9442 	EXP 	fixation: autoDraw = True
90.9443 	EXP 	fixation: autoDraw = False
90.9443 	EXP 	grating: autoDraw = True
91.2439 	EXP 	grating: autoDraw = False
91.4960 	DATA 	Keypress: up
91.5155 	EXP 	New trial (rep=33, index=0): None
91.5271 	EXP 	fixation: autoDraw = False
91.5271 	EXP 	grating: autoDraw = False
91.5271 	EXP 	grating: ori = -4.0
91.5271 	EXP 	fixation: autoDraw = True
92.5270 	EXP 	fixation: autoDraw = False
92.5270 	EXP 	grating: autoDraw = True
92.8270 	EXP 	grating: autoDraw = False
93.2488 	EXP 	New trial (rep=34, index=0): None
93.2509 	DATA 	Keypress: down
93.2599 	EXP 	fixation: autoDraw = False
93.2599 	EXP 	grating: autoDraw = False
93.2599 	EXP 	grating: ori = 1.0
93.2599 	EXP 	fixation: autoDraw = True
94.2600 	EXP 	fixation: autoDraw = False
94.2600 	EXP 	grating: autoDraw = True
94.5597 	EXP 	grating: autoDraw = False
94.8803 	EXP 	New trial (rep=35, index=0): None
94.8818 	DATA 	Keypress: up
94.8930 	EXP 	fixation: autoDraw = False
94.8930 	EXP 	grating: autoDraw = False
94.8930 	EXP 	grating: ori = 0.0
94.8930 	EXP 	fixation: autoDraw = True
95.8929 	EXP 	fixation: autoDraw = False
95.8929 	EXP 	grating: autoDraw = True
96.1928 	EXP 	grating: autoDraw = False
96.4952 	EXP 	New trial (rep=36, index=0): None
96.4964 	DATA 	Keypress: up
96.5094 	EXP 	fixation: autoDraw = False
96.5094 	EXP 	grating: autoDraw = False
96.5094 	EXP 	grating: ori = 0.0
96.5094 	EXP 	fixation: autoDraw = True
97.5091 	EXP 	fixation: autoDraw = False
97.5091 	EXP 	grating: autoDraw = True
97.8090 	EXP 	grating: autoDraw = False
98.0975 	EXP 	New trial (rep=37, index=0): None
98.0990 	DATA 	Keypress: up
98.1090 	EXP 	fixation: autoDraw = False
98.1090 	EXP 	grating: autoDraw = False
98.1090 	EXP 	grating: ori = -2.0
98.1090 	EXP 	fixation: autoDraw = True
99.1088 	EXP 	fixation: autoDraw = False
99.1088 	EXP 	grating: autoDraw = True
99.4088 	EXP 	grating: autoDraw = False
100.0648 	EXP 	New trial (rep=38, index=0): None
100.0669 	DATA 	Keypress: down
100.0750 	EXP 	fixation: autoDraw = False
100.0750 	EXP 	grating: autoDraw = False
100.0750 	EXP 	grating: ori = 2.0
100.0750 	EXP 	fixation: autoDraw = True
101.0749 	EXP 	fixation: autoDraw = False
101.0749 	EXP 	grating: autoDraw = True
101.3748 	EXP 	grating: autoDraw = False
101.8965 	EXP 	New trial (rep=39, index=0): None
101.8985 	DATA 	Keypress: down
101.9081 	EXP 	fixation: autoDraw = False
101.9081 	EXP 	grating: autoDraw = False
101.9081 	EXP 	grating: ori = 2.0
101.9081 	EXP 	fixation: autoDraw = True
102.9083 	EXP 	fixation: autoDraw = False
102.9083 	EXP 	grating: autoDraw = True
103.2078 	EXP 	grating: autoDraw = False
103.8469 	EXP 	New trial (rep=40, index=0): None
103.8491 	DATA 	Keypress: down
103.8576 	EXP 	fixation: autoDraw = False
103.8576 	EXP 	grating: autoDraw = False
103.8576 	EXP 	grating: ori = 2.0
103.8576 	EXP 	fixation: autoDraw = True
104.8580 	EXP 	fixation: autoDraw = False
104.8580 	EXP 	grating: autoDraw = True
105.1575 	EXP 	grating: autoDraw = False
105.9253 	DATA 	Keypress: down
105.9445 	EXP 	New trial (rep=41, index=0): None
105.9574 	EXP 	fixation: autoDraw = False
105.9574 	EXP 	grating: autoDraw = False
105.9574 	EXP 	grating: ori = 0.0
105.9574 	EXP 	fixation: autoDraw = True
106.9569 	EXP 	fixation: autoDraw = False
106.9569 	EXP 	grating: autoDraw = True
107.2567 	EXP 	grating: autoDraw = False
107.4602 	EXP 	New trial (rep=42, index=0): None
107.4615 	DATA 	Keypress: up
107.4732 	EXP 	fixation: autoDraw = False
107.4732 	EXP 	grating: autoDraw = False
107.4732 	EXP 	grating: ori = -2.0
107.4732 	EXP 	fixation: autoDraw = True
108.4733 	EXP 	fixation: autoDraw = False
108.4733 	EXP 	grating: autoDraw = True
108.7732 	EXP 	grating: autoDraw = False
110.0461 	EXP 	New trial (rep=43, index=0): None
110.0482 	DATA 	Keypress: down
110.0564 	EXP 	fixation: autoDraw = False
110.0564 	EXP 	grating: autoDraw = False
110.0564 	EXP 	grating: ori = -2.0
110.0564 	EXP 	fixation: autoDraw = True
111.0562 	EXP 	fixation: autoDraw = False
111.0562 	EXP 	grating: autoDraw = True
111.3560 	EXP 	grating: autoDraw = False
